[8/20/22 01:16PM] Adam used command ::find owner | Player rights = DEVELOPER	
[8/20/22 01:16PM] Adam used command ::item 7995 | Player rights = DEVELOPER	
[8/20/22 01:39PM] Adam used command ::find owner | Player rights = DEVELOPER	
[8/20/22 01:39PM] Adam used command ::22111 3 | Player rights = DEVELOPER	
[8/20/22 01:39PM] Adam used command ::item 22111 3 | Player rights = DEVELOPER	
[8/20/22 01:46PM] Adam used command ::tele 3200 3456 | Player rights = DEVELOPER	
[8/20/22 01:49PM] Adam used command ::clicktele | Player rights = DEVELOPER	
[8/20/22 01:50PM] Adam used command ::clicktele | Player rights = DEVELOPER	
[8/20/22 01:50PM] Adam used command ::hide | Player rights = DEVELOPER	
[8/20/22 01:50PM] Adam used command ::invis | Player rights = DEVELOPER	
[8/20/22 01:50PM] Adam used command ::kill lithe | Player rights = DEVELOPER	
[8/20/22 02:00PM] Adam used command ::wipeall adam | Player rights = DEVELOPER	
[8/20/22 02:00PM] Adam used command ::giveall 995 100000 | Player rights = DEVELOPER	
[8/20/22 02:01PM] Adam used command ::thieving | Player rights = DEVELOPER	
[8/20/22 02:01PM] Adam used command ::right | Player rights = DEVELOPER	
[8/20/22 02:01PM] Adam used command ::rights | Player rights = DEVELOPER	
[8/20/22 02:01PM] Adam used command ::rights 10 | Player rights = DEVELOPER	
[8/20/22 02:01PM] Adam used command ::rights adam | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::pnpc 1 | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::bcr | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::hp | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::jp | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::hp | Player rights = DEVELOPER	
[8/20/22 02:02PM] Adam used command ::hp | Player rights = DEVELOPER	
[8/20/22 02:03PM] Adam used command ::buff | Player rights = DEVELOPER	
[8/20/22 02:03PM] Adam used command ::buff adam | Player rights = DEVELOPER	
[8/20/22 02:03PM] Adam used command ::add 1 | Player rights = DEVELOPER	
[8/20/22 02:04PM] Adam used command ::itemall 995 | Player rights = DEVELOPER	
[8/20/22 02:04PM] Adam used command ::itemall | Player rights = DEVELOPER	
[8/20/22 02:04PM] Adam used command ::itemall 995 1 | Player rights = DEVELOPER	
[8/20/22 02:05PM] Adam used command ::::unpnpc | Player rights = DEVELOPER	
[8/20/22 02:05PM] Adam used command ::::unnpc | Player rights = DEVELOPER	
[8/20/22 02:05PM] Adam used command ::::upnpc | Player rights = DEVELOPER	
[8/20/22 02:06PM] Adam used command ::giveadmin alt | Player rights = DEVELOPER	
[8/20/22 02:06PM] Adam used command ::givehelper alt | Player rights = DEVELOPER	
[8/20/22 02:06PM] Adam used command ::demote alt | Player rights = DEVELOPER	
[8/20/22 02:06PM] Adam used command ::givemod alt | Player rights = DEVELOPER	
[8/20/22 02:07PM] Adam used command ::allcc | Player rights = DEVELOPER	
[8/20/22 02:07PM] Adam used command ::help | Player rights = DEVELOPER	
[8/20/22 02:08PM] Adam used command ::allcc | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::ds | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::dron | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::droff | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::dron | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::dr off | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::slayon | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::expon | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::startevent | Player rights = DEVELOPER	
[8/20/22 02:09PM] Adam used command ::voteon | Player rights = DEVELOPER	
[8/20/22 02:10PM] Adam used command ::home2 | Player rights = DEVELOPER	
[8/20/22 02:11PM] Adam used command ::clicktele | Player rights = DEVELOPER	
[8/20/22 02:11PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/20/22 02:11PM] Adam used command ::mypos | Player rights = DEVELOPER	
[8/20/22 02:11PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/20/22 02:12PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/20/22 02:12PM] Adam used command ::noclip | Player rights = DEVELOPER	
[8/20/22 02:12PM] Adam used command ::up | Player rights = DEVELOPER	
[8/20/22 02:12PM] Adam used command ::down | Player rights = DEVELOPER	
[8/20/22 02:12PM] Adam used command ::vdaynpcs | Player rights = DEVELOPER	
[8/20/22 02:13PM] Adam used command ::instnpcs | Player rights = DEVELOPER	
[8/20/22 02:13PM] Adam used command ::location | Player rights = DEVELOPER	
[8/20/22 02:13PM] Adam used command ::donodeal | Player rights = DEVELOPER	
[8/20/22 02:13PM] Adam used command ::donodeal | Player rights = DEVELOPER	
[8/20/22 02:13PM] Adam used command ::pr | Player rights = DEVELOPER	
