[4/24/21 10:52AM] Nandope used command ::object 41200 | Player rights = DEVELOPER	
[4/24/21 10:53AM] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 10:56AM] Nandope used command ::tele 1971 5020 | Player rights = DEVELOPER	
[4/24/21 10:56AM] Nandope used command ::tele 1954 5031 | Player rights = DEVELOPER	
[4/24/21 10:56AM] Nandope used command ::object 41201 | Player rights = DEVELOPER	
[4/24/21 10:57AM] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::npc 9028 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::pnpc 9029 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::pnpc 9030 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::pnpc :: | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::tele 1934 5023 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::: | Player rights = DEVELOPER	
[4/24/21 10:59AM] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 11:00AM] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 11:00AM] Nandope used command ::pnpc 9029 | Player rights = DEVELOPER	
[4/24/21 11:00AM] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/24/21 11:00AM] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 11:06AM] Nandope used command ::th | Player rights = DEVELOPER	
[4/24/21 11:08AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/24/21 11:16AM] Nandope used command ::item 2887 | Player rights = DEVELOPER	
[4/26/21 09:48AM] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/26/21 09:49AM] Nandope used command ::pnpc 1 | Player rights = DEVELOPER	
[4/26/21 09:49AM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/26/21 09:49AM] Nandope used command ::vod | Player rights = DEVELOPER	
[4/26/21 09:49AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 09:51AM] Nandope used command :::vod | Player rights = DEVELOPER	
[4/26/21 09:51AM] Nandope used command ::vod | Player rights = DEVELOPER	
[4/26/21 10:03AM] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/26/21 10:04AM] Nandope used command ::tele 20341 5025 | Player rights = DEVELOPER	
[4/26/21 10:04AM] Nandope used command ::tele 2341 5025 | Player rights = DEVELOPER	
[4/26/21 10:04AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:04AM] Nandope used command ::tele 2341 5040 | Player rights = DEVELOPER	
[4/26/21 10:04AM] Nandope used command ::tele 2360 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM] Nandope used command ::tele 2355 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM] Nandope used command ::tele 2345 5020 | Player rights = DEVELOPER	
[4/26/21 10:05AM] Nandope used command ::tele 2330 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:07AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2320 5031 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2340 5031 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2329 5050 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2329 5010 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2329 5000 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele  | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::tele 2397 5028 | Player rights = DEVELOPER	
[4/26/21 10:08AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:09AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:09AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:10AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:11AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:11AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:12AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:12AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:13AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:24AM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/26/21 04:22PM] Nandope used command ::vow | Player rights = DEVELOPER	
[4/27/21 09:29AM] Nandope used command ::pnpc 6104 | Player rights = DEVELOPER	
[4/27/21 09:29AM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 09:29AM] Nandope used command ::pnpc 6105 | Player rights = DEVELOPER	
[4/27/21 09:29AM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:00AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::pnpc 1715 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::pnpc 1734 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::tele 2137 5048 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::tele 2131 5046 | Player rights = DEVELOPER	
[4/27/21 10:01AM] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/27/21 10:02AM] Nandope used command ::pnpc 1723 | Player rights = DEVELOPER	
[4/27/21 10:02AM] Nandope used command ::tele 2222 5042 | Player rights = DEVELOPER	
[4/27/21 10:45AM] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/27/21 10:46AM] Nandope used command ::starterslayer | Player rights = DEVELOPER	
[4/27/21 10:46AM] Nandope used command ::tele 2144 4060 | Player rights = DEVELOPER	
[4/27/21 10:46AM] Nandope used command ::medslayerdung | Player rights = DEVELOPER	
