[4/24/21 10:52AM]  [ Nandope ] Nandope used command ::object 41200 | Player rights = DEVELOPER	
[4/24/21 10:53AM]  [ Nandope ] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 10:56AM]  [ Nandope ] Nandope used command ::tele 1971 5020 | Player rights = DEVELOPER	
[4/24/21 10:56AM]  [ Nandope ] Nandope used command ::tele 1954 5031 | Player rights = DEVELOPER	
[4/24/21 10:56AM]  [ Nandope ] Nandope used command ::object 41201 | Player rights = DEVELOPER	
[4/24/21 10:57AM]  [ Nandope ] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::npc 9028 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::pnpc 9029 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::pnpc 9030 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::pnpc :: | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::tele 1934 5023 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::: | Player rights = DEVELOPER	
[4/24/21 10:59AM]  [ Nandope ] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 11:00AM]  [ Nandope ] Nandope used command ::tele 1954 5034 | Player rights = DEVELOPER	
[4/24/21 11:00AM]  [ Nandope ] Nandope used command ::pnpc 9029 | Player rights = DEVELOPER	
[4/24/21 11:00AM]  [ Nandope ] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/24/21 11:00AM]  [ Nandope ] Nandope used command ::vod | Player rights = DEVELOPER	
[4/24/21 11:06AM]  [ Nandope ] Nandope used command ::th | Player rights = DEVELOPER	
[4/24/21 11:08AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/24/21 11:16AM]  [ Nandope ] Nandope used command ::item 2887 | Player rights = DEVELOPER	
[4/26/21 09:48AM]  [ Nandope ] Nandope used command ::pnpc 9028 | Player rights = DEVELOPER	
[4/26/21 09:49AM]  [ Nandope ] Nandope used command ::pnpc 1 | Player rights = DEVELOPER	
[4/26/21 09:49AM]  [ Nandope ] Nandope used command ::pnpc -1 | Player rights = DEVELOPER	
[4/26/21 09:49AM]  [ Nandope ] Nandope used command ::vod | Player rights = DEVELOPER	
[4/26/21 09:49AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 09:51AM]  [ Nandope ] Nandope used command :::vod | Player rights = DEVELOPER	
[4/26/21 09:51AM]  [ Nandope ] Nandope used command ::vod | Player rights = DEVELOPER	
[4/26/21 10:03AM]  [ Nandope ] Nandope used command ::repackindex4 | Player rights = DEVELOPER	
[4/26/21 10:04AM]  [ Nandope ] Nandope used command ::tele 20341 5025 | Player rights = DEVELOPER	
[4/26/21 10:04AM]  [ Nandope ] Nandope used command ::tele 2341 5025 | Player rights = DEVELOPER	
[4/26/21 10:04AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:04AM]  [ Nandope ] Nandope used command ::tele 2341 5040 | Player rights = DEVELOPER	
[4/26/21 10:04AM]  [ Nandope ] Nandope used command ::tele 2360 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM]  [ Nandope ] Nandope used command ::tele 2355 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM]  [ Nandope ] Nandope used command ::tele 2345 5020 | Player rights = DEVELOPER	
[4/26/21 10:05AM]  [ Nandope ] Nandope used command ::tele 2330 5025 | Player rights = DEVELOPER	
[4/26/21 10:05AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
[4/26/21 10:06AM]  [ Nandope ] Nandope used command ::mypos | Player rights = DEVELOPER	
