[8/18/22 07:10PM]  [ Test2 ] Player picked up item: Solak Coins, id: 995, amount: 19363, owner: Test2	
[8/19/22 10:00AM]  [ Josh ] Player picked up item: Avatar titan boots, id: 19945, amount: 1, owner: Josh	
[8/19/22 10:06AM]  [ Josh ] Player picked up item: Solak Coins, id: 995, amount: 61098, owner: Josh	
[8/19/22 10:22AM]  [ Josh ] Player picked up item: Solak Coins, id: 995, amount: 38021, owner: Josh	
[8/19/22 12:36PM]  [ Josh ] Player picked up item: Weapon Box, id: 19114, amount: 1, owner: Josh	
[8/19/22 01:32PM]  [ Josh ] Player picked up item: Solak Coins, id: 995, amount: 1495244, owner: Josh	
[8/20/22 03:30PM]  [ Lithe ] Player picked up item: Pet Kalphite queen, id: 11993, amount: 1, owner: Lithe	
[8/20/22 03:30PM]  [ Lithe ] Player picked up item: Legion scythe, id: 22091, amount: 1, owner: Lithe	
[8/20/22 03:53PM]  [ Lithe ] Player picked up item: Grimy torstol, id: 220, amount: 20, owner: Lithe	
[8/20/22 03:57PM]  [ Lithe ] Player picked up item: PVM ticket, id: 5022, amount: 17, owner: Lithe	
[8/20/22 04:03PM]  [ Lithe ] Player picked up item: Solak Coins, id: 995, amount: 25985, owner: Lithe	
[8/20/22 04:03PM]  [ Lithe ] Player picked up item: Solak Coins, id: 995, amount: 33709, owner: Lithe	
[8/20/22 05:36PM]  [ Qway ] Player picked up item: Solak Coins, id: 995, amount: 3088, owner: Qway	
[8/20/22 05:36PM]  [ Qway ] Player picked up item: Dragon bones, id: 537, amount: 1, owner: Qway	
[8/23/22 02:42PM]  [ Lithe ] Player picked up item: Pet cat, id: 14090, amount: 1, owner: Lithe	
[8/23/22 03:49PM]  [ Lithe ] Player picked up item: Solak Coins, id: 995, amount: 2432678, owner: Lithe	
[8/23/22 03:49PM]  [ Lithe ] Player picked up item: Dragon bones, id: 537, amount: 25, owner: Lithe	
[8/23/22 05:25PM]  [ Lithe ] Player picked up item: Vault token, id: 12852, amount: 10, owner: Lithe	
[8/23/22 05:26PM]  [ Lithe ] Player picked up item: War gauntlets (T1), id: 23099, amount: 1, owner: Lithe	
[8/23/22 05:26PM]  [ Adam ] Player picked up item: Vault token, id: 12852, amount: 10, owner: Adam	
[8/23/22 05:27PM]  [ Lithe ] Player picked up item: War gauntlets (T2), id: 23100, amount: 1, owner: Lithe	
[8/27/22 11:46PM]  [ Josh ] Player picked up item: Elite Winged Aura, id: 4373, amount: 1, owner: Josh	
[8/27/22 11:46PM]  [ Josh ] Player picked up item: Elite Winged Aura, id: 4373, amount: 1, owner: Josh	
